id,Context_Relevance_Score,Faithfulness_Score,Answer_Relevance_Score,Domain_Accuracy_%,Predicted_Tags,True_Tags
208,4,3,5,60.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 1}"
420,4,0,0,80.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 0}","{'VERIFIABILITY': 2, 'ATOMICITY': 1, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 0}"
239,2,4,5,40.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 1, 'ATOMICITY': 2, 'AMBIGUITY': 0, 'COMPLETENESS': 1, 'TRACEABLE': 1}"
265,2,2,5,60.0,"{'VERIFIABILITY': 1, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 0, 'COMPLETENESS': 1, 'TRACEABLE': 1}"
710,3,3,5,40.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 2}"
408,3,3,5,60.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 0}","{'VERIFIABILITY': 2, 'ATOMICITY': 1, 'AMBIGUITY': 2, 'COMPLETENESS': 1, 'TRACEABLE': 0}"
54,3,4,5,80.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 2, 'TRACEABLE': 1}"
209,3,2,5,40.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 1, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 1}"
680,2,3,5,60.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 2}"
587,4,4,5,80.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 2}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 1, 'TRACEABLE': 2}"
181,3,2,5,100.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}"
131,3,3,5,60.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 1, 'TRACEABLE': 1}"
227,4,3,5,60.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 1, 'TRACEABLE': 2}"
72,4,3,5,60.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 1, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 2, 'TRACEABLE': 1}"
86,4,3,5,20.0,"{'VERIFIABILITY': 2, 'ATOMICITY': 2, 'AMBIGUITY': 2, 'COMPLETENESS': 2, 'TRACEABLE': 1}","{'VERIFIABILITY': 1, 'ATOMICITY': 1, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 1}"
375,2,2,5,80.0,"{'VERIFIABILITY': 1, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 0, 'TRACEABLE': 1}","{'VERIFIABILITY': 1, 'ATOMICITY': 2, 'AMBIGUITY': 1, 'COMPLETENESS': 1, 'TRACEABLE': 1}"
